,coe,res,pvalue
pk_cjusin kongers,-0.3084254,-2.80E-16,1.63E-27
vote20bs,0.264909629,0.2245958,2.43E-08
"pk_cjusno,idea",NA,-1.64E-16,2.43E-08
ethnic2I dont know,-0.667522853,0.486276321,1.61E-07
asians_4,0.061086914,-0.082184165,1.61E-07
maugarepresenative,-0.575518394,1.12E-16,0.000531939
expconvert,0.021820862,0.317318853,0.000721533
maugacongress person,0.981211398,-9.02E-17,0.000769959
pk_cjusch justg,-0.711551948,1.91E-16,0.002327883
turnout16b,-0.461967103,0.011231063,0.002741292
pk_cjusjudiciary committee,NA,-0.08078035,0.002741292
pk_cjusjejejek,NA,3.08E-16,0.004516397
fthaley1,0.000369319,2.06E-16,0.005124629
pk_cjusn.a.,NA,-3.18E-17,0.005124629
pk_cjuschief justice if the supreme court,-0.375687163,1.29E-16,0.005693585
mis_covid2,-0.228208253,1.71E-16,0.006793317
pk_cjussupream court,-0.112536191,9.71E-19,0.006793317
vote16,0.162491973,3.33E-16,0.007174773
pk_cjusjulia roberts chauffeur,NA,4.06E-16,0.007174773
dtleader1,0.136592708,-1.37E-16,0.008248475
pk_cjusnot sure,-0.123291677,-3.41E-16,0.008248475
relig1_11_TEXTlutheran,-1.934145808,4.71E-17,0.008637937
pk_cjuswhite house counsel,0.498992035,-0.206546696,0.008637937
ethnic2Italian American,0.848180426,-0.045646305,0.013220876
vote20turnoutjb,-1.671599283,5.51E-16,0.013220876
pk_cjuscheif justice of america,NA,0.214615082,0.013685743
maugaw,NA,1.68E-16,0.014267773
impact8,0.097212532,0.130977698,0.014321239
pk_germa dviser,1.7919683,-2.41E-16,0.014321239
maugasecretaria,NA,0.104528909,0.015530811
turnout16a,-0.409022733,6.30E-16,0.0178768
pk_cjusjudicial assistant,NA,-0.143846398,0.0178768
maugaunsure,0.094756205,-4.39E-17,0.017882249
stress3,0.011041948,-1.81E-16,0.018015963
maugapresident of liberia,0.231959387,0.079671486,0.018268688
ethnic2White Caucasian,1.276204578,-8.28E-16,0.018605882
relig1_11_TEXTButtist beliefs but don__ concider myself to be,-1.55025527,-1.77E-16,0.019694282
pk_cjussurpreme court,-1.022491675,-1.63E-16,0.019694282
persuade,0.189319309,0.186291424,0.019914026
pk_cjuskmldfber erb e,NA,0.080984504,0.019914026
ethnic2American,0.357749119,-5.13E-17,0.020464355
pk_germprime minister,-0.179258661,6.04E-16,0.020464355
maugafdgdgdfgg,NA,3.65E-16,0.021432201
pk_cjusit manager,NA,0.028500257,0.022168969
ethnic2Idkkk,0.361674625,8.49E-16,0.023740578
asians_6,-0.000574858,-0.042976913,0.023740578
talk3,-0.046212333,1.25E-16,0.025442138
pk_cjuslieutenant governor of american samoa,-3.350718334,-0.08635088,0.025442138
pk_cjusexotic dancer,NA,2.73E-16,0.026441407
ethnic2Cubans,-0.611420363,-0.279078436,0.026953193
pk_germsupreme,NA,2.37E-16,0.026953193
maugasanta clause,-0.429030702,4.30E-16,0.02772723
relig1_11_TEXTWiccan,-1.214815657,3.50E-16,0.027785532
pk_germ1975,NA,-0.104014538,0.027785532
ethnic1mexico,0.447511302,-0.213644339,0.028054849
pk_germhead of german government,NA,0.069937889,0.028054849
maugapresident of haiti,-0.191959061,-1.17E-16,0.029256627
maugaus representative,-0.109312854,-8.20E-17,0.029419142
relig1_11_TEXTDruid,3.463887715,-1.24E-16,0.030333582
pk_cjustyrsuress,NA,0.186609592,0.030333582
ethnic2Swedish,1.440315303,-2.00E-16,0.032695361
pk_cjus2013,0.400919896,3.63E-17,0.033499429
maugawhitehouse,0.505781964,-9.11E-17,0.034567633
selfmon5,0.002933365,-0.094122534,0.034600565
ethnic2Whie,0.587788467,4.30E-17,0.03566465
pk_cjusattorney general,-0.350577782,3.70E-16,0.035887608
ethnic2Anglo American,NA,-0.047647485,0.037020793
pk_germpriminister,-1.056387106,0.262818973,0.037020793
maugaconfress,0.289480347,-4.43E-16,0.037108703
fundmt1,-0.064725123,2.79E-17,0.037608592
pk_germ1991,NA,-1.86E-16,0.037608592
inc_anes,0.001343502,-0.088568541,0.03798349
maugaking of togo,0.498287874,-3.37E-16,0.038076603
femid1a,0.087107038,1.96E-16,0.038237363
"ethnic1Hungarian, English, Dutch, Polish",-1.311667634,0.046423875,0.040552116
pk_germforgot,NA,8.04E-17,0.040552116
maugasamoan government,0.38436467,3.23E-16,0.041425568
pk_cjuseverything,NA,6.30E-17,0.041543797
maugai 3,NA,-0.020183559,0.043108954
pk_cjus tv correspondent,1.389533851,1.04E-16,0.043338688
maugarepublicans,-1.691857197,4.21E-16,0.043503298
ethnic2Irish American,-0.024758731,-9.14E-17,0.044550443
INSTRUCTION_GROUP,0.027658727,4.48E-17,0.044550443
ethnic2Jewish,0.478265709,0.216997387,0.046310763
pidstr2_dr,0.026377496,-5.13E-17,0.046310763
ethnic1white/caucasion,0.813523392,-0.082184165,0.046553982
pk_germpolitical officer,NA,5.02E-17,0.046553982
maugapresis,0.147038114,9.33E-17,0.046600247
ethnic2ukranian,0.111931761,-8.33E-16,0.046688473
pk_cjuschef justice,-0.308793184,0.015764217,0.04774097
"ethnic2American,",-0.386373266,-1.16E-17,0.049973881
pk_germprime-minister,NA,-0.041340915,0.049973881
ethnic1GERMAN,0.086213711,-0.113275907,0.050090746
pk_germdon__ know,-0.037483616,-0.023052006,0.050090746
pk_cjus1000,NA,3.35E-16,0.050580134
ethnic2Venezolano,0.807686933,-0.116199292,0.050666192
inc_cpsmod,0.005825337,7.75E-17,0.050724989
ethnic1caucsion,0.733243027,-3.48E-17,0.051696242
pk_germchancelor,-0.46627611,0.06532776,0.051696242
