,coe,res,pvalue
moralcert6,-0.028322808,-4.08E-16,0.052236026
maugaidl,NA,2.21E-16,0.053582889
mauganot sure .????u.n.secratery,NA,1.53E-16,0.054265903
relig1_11_TEXTUnorthodox Christian,-2.011891316,2.55E-16,0.05519933
pk_germ1432,NA,-2.34E-16,0.05519933
groupid1a_lat,0.19594475,0.101034396,0.055554368
maugasectetary,-0.063150291,-9.98E-17,0.05565202
ethnic1Italian and Sicilian,-0.581580298,4.31E-16,0.055661066
pk_germgermany head person,NA,3.08E-16,0.055661066
pk_cjusdefense,0.30878468,0.02191773,0.056169546
relig1_11_TEXTNon practicing Catholic,-1.65933023,4.84E-16,0.056237239
pk_germ chancellor,-0.460007493,0.088324148,0.056237239
maugahead of united nations,NA,3.22E-16,0.056271176
forgive6,-0.003091373,-6.60E-17,0.056573754
"maugatrick question, they don't have a job.",-0.674135355,0.015294956,0.058067201
fttrump1,-0.001807643,-4.51E-16,0.058112564
pk_cjuslieutenant governor of american samoa si,-0.567437092,0.028599134,0.058112564
abort1,0.056456611,-0.031985491,0.059480292
pk_cjussecurity,NA,1.88E-17,0.059480292
pk_cjusdemoract,NA,-6.07E-17,0.059544932
pk_cjus1989,-0.166991344,3.19E-16,0.059718506
pk_cjusinformation technology,NA,-1.33E-16,0.059830189
ethnic2venezolano,0.324567068,2.50E-16,0.060490775
pk_cjushouse of sentator,1.346072201,-6.76E-17,0.060583794
pk_cjusgoofd,NA,0.303138317,0.061892495
mauga2010,0.394886359,-0.035417222,0.063274914
maugafilipino diplomat,NA,5.42E-18,0.063583732
open,-0.041071248,-2.77E-16,0.066253106
pk_cjussec of state,-0.734267799,0.080679858,0.066253106
ethnic2Black,1.097857564,0.029695446,0.06678584
pk_germrepublican speaker,-0.077259412,0.24833264,0.06678584
ethnic1Jdhdkdn,0.720508416,-0.199048435,0.067045539
pk_germgermanys leader,NA,-0.069073819,0.067045539
expknowpris,-0.007673562,-0.016377759,0.068042822
relig1_11_TEXTHebrew,2.944357007,6.30E-16,0.069467247
pk_cjusunited states supreme court justice,-0.419930577,2.06E-16,0.069467247
att2,0.099012466,-0.017308466,0.071157087
pk_germ1989,NA,2.90E-16,0.071157087
"maugaooh, someone is very clever",0.423358205,6.07E-18,0.071631243
jbknow,0.06364306,-0.159288712,0.071987761
pk_cjuspanfe,NA,0.011231063,0.071987761
ethnic1lithuanian,0.026030999,-0.285713145,0.072516006
pk_germgovernor governor,NA,9.00E-17,0.072516006
maugachairman,-0.506208703,0.122280121,0.072547668
ethnic1i like the american very much indeed,0.162542436,-3.55E-16,0.073595921
pk_germgerman chanceloor,0.403707896,-0.051816976,0.073595921
ethnic1white and Korean,-1.348275259,7.53E-17,0.074513639
pk_germpm of germnay,-0.384692996,5.69E-17,0.074513639
ethnic3,NA,3.52E-16,0.074632427
relig1_11_TEXTBaptists,-1.227455776,-8.64E-16,0.075316396
pk_cjussupreme court president,NA,0.011231063,0.075316396
maugai so not know,NA,-4.60E-16,0.075446065
att3,-0.047210362,-2.00E-16,0.075981229
pk_germ1990,NA,-3.34E-16,0.075981229
ethnic10,NA,1.40E-16,0.076233663
pk_germactivists,NA,1.90E-16,0.076233663
ethnic2Mut,1.456878954,2.62E-16,0.076359829
ethnic2No idea,0.109750548,-0.094178901,0.077616263
ethnic2Black hebrew,NA,1.28E-16,0.078510062
pk_germsecretary,-0.366616587,-0.101585979,0.078510062
socmed_1,1.98155299,-0.065309313,0.078584148
pk_germ2,-2.937585727,7.21E-17,0.078584148
pk_cjushave no idea,NA,3.78E-17,0.078866523
ethnic2Usa,2.313442564,-3.85E-16,0.079715264
ethnic1american american,0.192968393,7.68E-17,0.080059135
pk_germcancellor,-0.84695576,0.031258941,0.080059135
pk_cjusgovener,NA,-5.46E-16,0.080110477
"ethnic2Scottish, English, German, French, Cherokee",-0.266496317,-0.126267695,0.080252574
ethnic2polish,-0.202071597,5.39E-16,0.080560505
ethnic2IRISH/SCOTTISH,-0.565043943,-5.94E-17,0.080874409
RAND_INC,0.110975439,-3.84E-16,0.080874409
maugahead of economics,-0.093359855,3.49E-16,0.08196784
maugaisk,NA,-0.072857736,0.083337454
ethnic2Filipino,-0.194843021,0.072014453,0.083820108
pk_germunkown,NA,-1.88E-17,0.083820108
relig1_11_TEXTMeso Pagan,-1.856917995,-0.023917751,0.083826752
pk_cjuswhite house rep,1.141226642,0.2245958,0.083826752
maugacivil rights,-0.202120433,-6.68E-17,0.08514113
ethnic2white,0.273693619,3.77E-16,0.085735782
maugahouse speaker,0.321622179,-0.068880293,0.086034904
ethnic2jewish,-0.186369934,-1.72E-16,0.086050887
pidstr1_ind,NA,0.082030553,0.086050887
maugagfgddf,NA,0.01948952,0.086076027
proud,0.045926849,-0.086413281,0.086723035
pk_cjusjustice of supreme court of us,NA,4.12E-18,0.086723035
groupid1a_bla,-0.179396482,-1.14E-16,0.087575888
facebook1,0.030496535,-0.041271385,0.088643514
pk_germ2020,NA,-3.64E-16,0.088643514
maugai don__ even know who that is,NA,-2.67E-16,0.08947651
ethnic1utyytuytu,-0.915448047,4.96E-16,0.089639987
pk_germnope,-1.409739655,-6.05E-16,0.089639987
pk_cjus i dont know,NA,-1.80E-16,0.089667264
maugalt gov of american samoa,-0.125775451,-2.07E-16,0.090518663
ethnic2Hellenic Greek,1.457008397,-0.042131341,0.091597003
whites_6,0.001489841,2.69E-16,0.091597003
groupid1a_whi,0.046855584,2.06E-16,0.091817586
mauganoidea,0.112187493,-2.54E-17,0.093967993
turnout16a1,-0.132794045,9.14E-17,0.094383672
pk_cjusjudicial system,1.141423587,-3.51E-16,0.094383672
ethnic2Polish,0.513524315,1.51E-16,0.094624915
pk_cjusi don't remember,0.114508771,-0.269313586,0.09516032
ethnic2white american,0.016488728,-1.23E-16,0.09535384
maugapolitical advisor,NA,0.104017009,0.095414266
depress2,-0.050877461,0.003707052,0.095612261
maugacongress,0.004628853,0.075621915,0.09564126
racist1,0.168598398,-2.41E-16,0.095726288
pk_cjusrt tgtrh,NA,-9.23E-17,0.095726288
ethnic1wfefwwe,0.041343697,4.83E-16,0.096086484
pk_germpiminister of germany,0.730444459,4.45E-16,0.096086484
ethnic1Mauritian,-0.369660281,2.58E-16,0.096536054
pk_germgovernor of kansas,NA,-0.173512196,0.096536054
"ethnic2Irish, French and German",0.670939944,1.58E-16,0.096807688
XCONTACT,-0.023126635,1.08E-16,0.096807688
knowgay2_5,0.002303873,4.53E-16,0.09799805
ethnic2WASP,-0.583034316,-0.023983818,0.098802975
pk_cjus2,6.287940231,0.308049497,0.099145297
ethnic1Welsh-Irish,0.500685064,-2.38E-16,0.099382589
pk_germp m,NA,0.036112752,0.099382589
maugai dknot know,-1.134571047,-0.039113193,0.099564141
ethnic2norwegion,0.082544823,2.39E-16,0.101269041
"ethnic1European and Native American , Mixed",-1.857328578,-5.99E-16,0.101519889
pk_germdepartment of health,0.470032975,0.121101342,0.101519889
strpres1b,0.035563569,-0.161558458,0.101580016
pk_cjusreporter for fox news,-0.572753579,-0.011231063,0.101580016
bsleader2,-0.071291167,0.111736674,0.102082643
pk_cjusphisical,NA,-2.99E-16,0.102082643
pk_cjus1923,NA,-1.23E-17,0.103027489
pk_cjuschief of justice,0.263775178,1.23E-16,0.103225924
pk_cjuscheif justice supreme court,-1.851587106,-1.37E-16,0.10486579
pk_cjusaccounting,NA,1.95E-18,0.10635827
pk_cjusdemocrats,-0.340668932,-0.20393223,0.106682149
mauga2019,-0.485954971,3.43E-16,0.107035075
impeach2,0.031447555,3.16E-16,0.10898652
pk_cjussuprem court,-0.609410434,1.29E-17,0.10898652
relig1_11_TEXTchristaian,-1.647665957,4.33E-16,0.109671437
pk_cjusthe chief justice of the supreme court,NA,0.186291424,0.109671437
knowgay2_1,-0.04506008,0.165314371,0.109941312
maugaunknown,0.134860455,0.003893838,0.110937046
ethnic2Native American,-1.278886984,-0.286446856,0.112349923
ftpelosi1,-0.000683045,-0.214805187,0.112453185
pk_cjusminister,NA,0.15707946,0.112453185
relig1_11_TEXTFollower of Jesus Christ and Baptist Christian,2.452334637,1.66E-16,0.113237834
pk_cjusun,0.196672196,-2.88E-16,0.113237834
maugai have no idea who that is,-0.249482404,0.061526741,0.113907008
ethnic2Italian German,0.030732607,-3.77E-16,0.115127625
particip_count,NA,0.079801354,0.115127625
ethnic2African,1.006735828,-2.72E-16,0.116045021
pk_germpresident alemania,NA,-1.97E-15,0.116045021
relig1_11_TEXTHispanic,1.374879279,-0.035673592,0.116135713
pk_cjusunsure,0.055483481,-0.242004522,0.116135713
pk_cjusi dont' know.,-0.516012729,-0.173037137,0.116271624
maugabanker,NA,-3.59E-16,0.116394887
ethnic1Jamaican,0.194337134,-0.023828422,0.116467031
pk_germgermany's prime minister,NA,1.48E-16,0.116467031
callout_person,0.032789869,-8.29E-16,0.116888512
maugado noy know,0.024194863,0.130929303,0.117228617
ethnic1Whites,-0.268602989,0.279636704,0.117444613
pk_germpolitician,0.160151829,-0.212481711,0.117444613
maugai don__ know,-0.082288478,-6.74E-17,0.117502883
maugamanager,-0.01366187,-0.388425883,0.117811522
maugaclass clown,-0.94381825,-4.52E-16,0.118571463
relig1_11_TEXTnon denominational,2.715080668,-0.164957473,0.119097921
pk_cjusxjxdjdhhd,NA,-0.03124442,0.119097921
relig1_11_TEXTchristian,-0.676946301,8.06E-17,0.119512105
pk_cjusthe united states supreme court,0.846808716,4.24E-17,0.119512105
ethnic1w,-3.228566962,0.014730039,0.119864444
pk_germofficials,NA,-5.72E-16,0.119864444
ftbigbusiness,-0.000704654,-5.83E-16,0.12110708
pk_cjusno e,0.684325729,-0.013421948,0.12110708
callout_social,0.052487581,1.18E-16,0.122387026
bsdiv,-0.036813106,0.094178901,0.122901166
pk_cjuspolitician,-1.492226755,3.30E-16,0.122901166
maugahuman,0.104393636,-3.14E-16,0.123120762
ethnic2Czech,1.121009155,2.23E-16,0.124738334
pk_germsupreme court judge,-0.609204492,-7.45E-16,0.124738334
ethnic2WHITE,-0.997834022,0.135375609,0.125092957
relig1_11_TEXTCatholic,0.901653417,-0.093989572,0.127624291
pk_cjusthe 17th chief justice,NA,-0.33576348,0.127624291
pk_cjusattorney,0.407700878,0.125521737,0.128056428
ethnic1?,1.037228928,1.37E-16,0.1282966
pk_germabogado,NA,-2.77E-16,0.1282966
maugajustice of the peace,0.331186651,8.09E-16,0.129986502
maugai don't know,0.349615232,-0.19628876,0.130487536
conf_covid2,0.038860659,-3.83E-16,0.130751102
pk_cjussupream court cheif justice,-0.034293697,-8.53E-17,0.130751102
maugadk,-0.500253775,-0.002957342,0.130800718
rr1,-0.04279116,-0.022231023,0.131147517
pk_cjussupreme court cheif,NA,-0.02305749,0.131147517
maugagobernador,-0.415092518,-0.083392037,0.131979384
ethnic2Asian,0.08785561,-7.77E-16,0.133020269
pk_germptesident trump's media secratary,-0.306162143,0.022300147,0.133020269
educ,-0.035841816,-9.76E-17,0.134985543
knowgay2_2,0.03089362,9.84E-17,0.136252565
ethnic2puerto rican,0.893254816,-0.220596503,0.136762636
maugadictaor,-0.318114802,-0.081262897,0.137187442
maugapresent,-0.452297529,6.87E-16,0.139041043
socmed_6,0.108667639,0.298955508,0.139282189
pk_germ2005,NA,-0.001144014,0.139282189
maugadont  know,NA,2.27E-16,0.139837451
pk_cjushe is an american lawyer and jurist,NA,3.77E-16,0.140106614
maugapresendent of mexico,-0.388224415,-9.83E-17,0.140427251
maugalaw of court,1.282108191,-3.51E-17,0.142701141
ethnic1Italian and German,0.043083621,-3.96E-17,0.142706047
pk_germgermany head of country,0.546177664,6.32E-17,0.142706047
maugaexotic tiger owner,-0.523998704,1.45E-16,0.144109662
maugano ideal,0.111007141,1.34E-16,0.145513419
pk_cjusi don't know,-0.422622688,-1.11E-16,0.146677835
ethnic2English,0.18993834,1.96E-16,0.146766536
pk_germtoll taker,NA,-0.045284961,0.146766536
ethnic2North American,0.319841134,-0.129849014,0.147389751
ethnic2Mexican,0.239864455,0.015993313,0.147515982
rr_scale,-0.00345419,1.35E-16,0.147515982
ethnic1latino,-0.064156074,-2.81E-16,0.147933724
pk_germgovernment,NA,-0.065894202,0.147933724
groupid3a_lat,0.37347522,2.36E-16,0.14888595
ethnic2Belizean,2.378147898,2.62E-16,0.150287442
pk_germrepresentative,-0.449138482,-1.13E-15,0.150287442
ethnic2Normally,0.810956973,2.86E-17,0.151079534
ethnic2White/Caucasion,0.134489495,8.02E-17,0.151301103
maugapresident of panama,NA,0.06532776,0.151658749
maugafrance,0.487439045,-0.041619937,0.152576401
pk_cjusfgzsdfg,-1.942488621,-0.098287755,0.15360935
ethnic2Jamaican,0.806338285,0.134381422,0.154068888
pk_spend_correct,-0.051349565,-1.61E-16,0.154068888
ftfauci1,-0.000228734,-0.242004522,0.154844746
pk_cjusna,0.992711468,5.99E-16,0.154844746
maugaruler of spain,-0.704560133,-1.75E-17,0.155053399
"ethnic2Italian,black,Puerto Rican",0.651685254,2.93E-16,0.15557432
pk_mauga_correct,NA,-9.22E-17,0.15557432
racist2,-0.144516816,0.041836588,0.158712231
pk_cjussc chief justice,0.945793387,6.37E-17,0.158712231
maugai don't no,NA,1.31E-16,0.160170779
maugaaccounting,NA,0.181051072,0.160364041
maugalieutenant governor of america samoa,-0.1970794,-0.333307399,0.162824234
maugavenezuela is foreign minister,-0.116634506,3.65E-17,0.162972206
ethnic1Good service,1.39678072,7.43E-17,0.163076288
pk_germestatal,NA,-0.017308466,0.163076288
ethnic2You know I__ not,2.006217524,-0.040020429,0.163557048
divmoral,-0.043621582,-2.66E-16,0.164953203
pk_cjusassemnly,0.918894559,1.37E-17,0.16555679
pk_cjushead of supreme court,NA,-6.80E-17,0.165778104
relig1,0.022165589,-8.86E-17,0.167405423
pk_cjussupreme court head justice,NA,1.57E-17,0.167405423
ethnic1N/a,2.160426043,-1.13E-15,0.167855975
pk_germhhshsjjskakkjaja,NA,-0.029799279,0.167855975
ethnic2Canadian,1.84902986,3.56E-16,0.168198603
pk_germsenate,-0.125056632,0.096749756,0.168198603
ethnic1french canadian,-0.793369498,-2.27E-16,0.169622554
pk_germdo not recall,NA,-0.010555607,0.169622554
pk_cjusdemocratic,NA,-2.00E-16,0.171742462
pk_cjusderech,-0.95992669,-1.44E-17,0.172312366
pk_cjushe is a republican - speaker,NA,0.014758679,0.173075171
bsdignif,0.056440966,-0.053370804,0.173985021
pk_cjuspoliti,-1.173054004,-1.46E-16,0.173985021
conf_covid1,-0.0329955,8.98E-16,0.175241835
pk_cjussupre.ecojrtjudve,NA,0.083410542,0.175241835
forgive3,0.010434456,-0.257796192,0.175353979
ethnic1White female,-0.511024189,1.45E-16,0.17570812
pk_germpolice chief,-0.098177297,-0.127640088,0.17570812
ftcapitalists,0.000521564,0.065585361,0.176490282
pk_cjusno comment,NA,2.85E-17,0.176490282
ethnic2HISPANO,0.215563392,0.082779994,0.177265701
hisp_1,0.044620912,7.53E-17,0.177265701
maugapresident of spain,NA,-1.08E-17,0.177298577
ethnic2American Causian,0.641408074,4.99E-16,0.177495693
pk_germprime minister if germany,0.31345785,0.09610078,0.177495693
pk_cjusdirector of intelligence,NA,-3.03E-17,0.177771703
maugaforeign embassy officer,1.234840635,-0.180552926,0.178252077
maugaconstruccion,NA,1.92E-16,0.178668284
ethnic1Lebanese,-0.849578031,-0.059136319,0.179184255
pk_germgovernor,-0.186516674,-1.97E-16,0.179184255
maugaambassador to togo,NA,1.90E-16,0.180465893
maugadoctor,-0.470107707,-3.14E-17,0.181421857
relig1_11_TEXTLutheran,-0.760275838,3.31E-16,0.181494152
pk_cjuswhite house dept. head,NA,-2.98E-16,0.181494152
ethnic1Hispanic,0.244276518,5.26E-16,0.181526035
pk_germfamily of meghan merkel,NA,0.088548189,0.181526035
pk_cjushouse member,0.571148902,-1.65E-16,0.182084615
ethnic1White? I__ a mutt so I don__ have a strong one.,-0.533661091,3.39E-17,0.183171546
pk_germpolitical leader of germany,NA,-0.042823112,0.183171546
maugadirector or army,1.120680841,-1.01E-16,0.18321113
maugahave no idea,-0.208358178,3.73E-16,0.183908043
ethnic1asian,-0.423674698,9.80E-17,0.184239575
pk_germchacellor of germany,NA,-3.32E-16,0.184239575
pk_cjushead of state,NA,1.16E-16,0.184936761
ethnic2French Canadian,1.06516694,0.015446294,0.186190016
pk_germwatch ppl,NA,0.226014694,0.186190016
ethnic1Asiam,1.908226984,0.362957795,0.186421823
pk_germchacellor,NA,0.242929331,0.186421823
maugalgas since 2013,-0.266995651,-3.96E-16,0.186626372
maugaluitenant governor of american somia,NA,1.04E-15,0.187043003
relig1_11_TEXTborn again Christian,-1.352547316,0.051973415,0.187279025
pk_cjussupreme cout justice,NA,-0.199223086,0.187279025
jbleader1,-0.061879888,-0.091716149,0.189471304
pk_cjusofficials,NA,0.237938057,0.189471304
maugadirector,NA,-0.004915698,0.189527036
pk_cjus1981,-0.325657436,-1.84E-16,0.189818719
pk_cjus......................,NA,-0.045854373,0.190612962
pk_cjuschief justice in september 2005.,NA,1.22E-16,0.191252533
ethnic2Eastern European,0.411240608,-2.92E-16,0.191383821
pk_germthe leader of the centre-right christian,NA,6.26E-16,0.191383821
ethnic1Mexican/HIspanic,0.173705589,0.262818973,0.193081788
pk_germh,NA,-0.016948735,0.193081788
maugagoverner,2.682509246,3.02E-16,0.193420282
pk_cjusasshat,NA,-1.51E-16,0.193949364
pk_cjushgtfdcvb,NA,1.57E-17,0.194397353
maugajanitor,3.290095994,1.58E-17,0.19508286
pk_cjushealth,-1.266770019,-5.01E-17,0.195186462
pk_cjuschief ustice,NA,0.127460773,0.195281482
covid1,-0.030209634,-1.06E-16,0.197332163
pk_cjussecretary of defense,-0.693810927,-6.32E-17,0.197332163
rural4,-0.037976227,-5.17E-16,0.197807232
pk_cjussuperior court judge,0.132177219,3.70E-17,0.197807232
relig1_11_TEXTIsraelite,-1.571965733,-0.08953802,0.197933338
pk_cjusus supreme court chief justice,-0.597832153,-1.01E-16,0.197933338
relig1_11_TEXTJw,1.2859302,-2.04E-16,0.198008691
pk_cjuswhat?,NA,-5.83E-16,0.198008691
att1,-0.214999936,1.52E-15,0.198321461
pk_germ1988,NA,0.265078254,0.198321461
maugachai,0.476220345,-0.442251584,0.198717213
maugacolubian president,NA,2.41E-16,0.19922117
maugada,NA,-0.007993453,0.199611444
maugahgf,NA,-0.426140489,0.201260713
ethnic2Askinasi,-0.279130601,3.07E-16,0.202110834
pk_germrepablican,NA,2.49E-16,0.202110834
maugadon't know,0.019505818,1.40E-17,0.202287018
maugai'm guessing that this is a president of a small country,NA,0.034063374,0.202352897
ethnic2African Amwrican,2.253353548,-0.178675666,0.203525359
pk_germpress secretary,NA,2.57E-17,0.203525359
pk_cjus?,0.435156016,-8.29E-16,0.203737689
ethnic2white atheist,0.062356364,8.14E-16,0.204056133
frnpres7,-0.02504484,8.41E-17,0.204190621
pk_cjusnone,0.005341184,-7.72E-17,0.204190621
ethnic1Chinese,-1.131432537,-0.133867318,0.205181184
pk_germchancernoal in germany,NA,0.161980855,0.205181184
worried,-0.042206147,-1.06E-15,0.206035987
pk_cjusjustice of supreme court,0.370958218,0.165165451,0.206035987
pk_cjuscongres,-0.071382274,-0.15800084,0.206400864
maugaunited nations,1.114999919,7.43E-17,0.206599388
maugaattorny general,0.235760807,-6.22E-16,0.207451677
relig1_11_TEXTchristean,-0.864902891,-1.10E-16,0.207897252
pk_cjusthe supreme constitutional court,NA,0.159288712,0.207897252
maugapresident of samoa,NA,1.28E-16,0.2079223
antirelig2,0.119724706,6.97E-17,0.208352475
pk_cjusroberts is sworn in as chief justice by,-0.406932825,0.334736455,0.208352475
pk_cjusgov.,NA,3.40E-17,0.208471829
pk_cjusdemocrat,0.240904578,-0.17028489,0.210556039
maugapm,1.525501327,-1.04E-17,0.210609596
mauga1978,1.115266575,-1.72E-16,0.210758836
ethnic2White European,-0.676692493,1.95E-16,0.21089207
maugapoet laureate,-0.317927394,1.36E-16,0.211329798
pk_cjuscop,NA,2.38E-18,0.211974827
maugapolicial,0.12547397,0.031431475,0.211994956
regulate2,0.039260419,0.146327733,0.212032574
pk_cjusreligious,-0.269060587,-9.14E-17,0.212032574
covid2,0.034919196,4.04E-16,0.212396303
pk_cjussecretary of interorir,NA,-1.23E-16,0.212396303
maugasecretary o labor,-0.174987003,-3.05E-16,0.21341049
maugai like,NA,0.073496888,0.213823071
ethnic2Heinz 57,-0.327120021,3.42E-16,0.213977054
whites_5,0.051538653,0.472232903,0.213977054
govsize1b,-0.075082285,7.21E-17,0.214540776
pk_cjusprivate law,NA,-2.50E-16,0.214540776
maugaamerican samoa delegate to congress,NA,-9.86E-17,0.215073303
maugasuprme court judge,-0.800903365,0.161581056,0.21557713
pk_cjuschief justice of the supreme court.,NA,-5.84E-16,0.2156137
ethnic1Persian,-0.826675952,-9.01E-16,0.216145025
pk_germitalian president,-0.698887703,0.324336775,0.216145025
maugasupreme,-0.253608555,-2.74E-16,0.216627821
"ethnic2Scot, Irish",0.811687841,4.30E-16,0.216832505
pk_cjushe was appointed to the supreme court,NA,-6.94E-18,0.21686994
callout3b,0.033273826,-2.54E-17,0.217237021
pk_cjuscnn,-0.1172346,-0.055589727,0.217601741
maugazookeeper,-0.448020967,-5.26E-17,0.217603016
groupid3b_whi,-0.039328254,-3.31E-16,0.217642864
ethnic2Afro-Rican/Caucasian,3.780772856,-1.61E-16,0.218353809
pk_germpress something,0.381258547,-0.055747896,0.218353809
ethnic1Russian,0.267926487,-2.78E-17,0.2186229
pk_germleader of the center-right cdu,-0.867466652,7.43E-17,0.2186229
maugaidfk,-0.241897273,4.06E-16,0.218680807
ethnic2chinese,-0.002331983,0.030723854,0.218901404
pk_germsoraker,NA,0.247231419,0.218901404
pk_cjus1864,NA,-2.05E-17,0.219691679
pk_cjuschief justice supreme court,0.158966849,7.75E-17,0.22007317
freecol2,-0.039912083,-6.93E-16,0.220375194
pk_cjussenator,-0.223885718,-0.044277944,0.220375194
ethnic2german norwegian,-0.240227714,-0.020014884,0.220660837
pk_germwork,NA,-8.57E-16,0.220660837
ethnic1Western European,0.314879205,-1.06E-16,0.220899816
